Title,Country,Year,Policy Status,Policy Type,Policy Target
Decree on Tariff Incentives for Renewable Energy and Efficient Cogeneration ,Montenegro,2011 (November),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Wind, Bioenergy, Solar, Hydropower"
Energy Law,Montenegro,2003,In Force ,"Regulatory Instruments, Economic Instruments ","Multiple RE Sources, Multiple RE Sources>All, Hydropower"
Regulatory framework for renewables ,Montenegro,"2010, 2011",In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Other mandatory requirements ","Multiple RE Sources, Multiple RE Sources>All"
Law of self-generation (Law 16.08) ,Morocco,2008 (June 30th),In Force ,"Policy Support>Institutional creation, Voluntary Approaches>Unilateral Commitments (Private sector) ","Multiple RE Sources>All, Hydropower, Bioenergy"
National Agency for the Development of Renewable Energy and Energy Efficiency 16.09,Morocco,2010,In Force ,Policy Support>Institutional creation ,Multiple RE Sources
National Sustainability Development Strategy (NSDS) 2005-2025,Nauru,2005,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Wind, Solar"
Nauru Energy Efficiency Action Plan 2008-2020,Nauru,2008,In Force ,"Policy Support, Policy Support>Strategic planning, Information and Education>Professional training and qualification, Information and Education>Information provision ",Multiple RE Sources
Climate-Neutral Government Operations by 2012,Netherlands,2001,Ended ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
Energy Agreement for Sustainable Growth,Netherlands,2013,In Force ,Policy Support>Strategic planning ,"Wind>Offshore, Multiple RE Sources>All"
Energy Performance Standards for Buildings Strengthened,Netherlands,2000,In Force ,Regulatory Instruments ,Multiple RE Sources
Energy Premium (EPR) and Energy Performance Advice (EPA),Netherlands,2001,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Information provision, Information and Education>Advice/Aid in Implementation ","Multiple RE Sources>Power, Multiple RE Sources>Heating"
Energy Tax Regime,Netherlands,2005,Ended ,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>All
Energy Transition,Netherlands,2006,Superseded ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education, Policy Support>Strategic planning, Regulatory Instruments>Codes and standards ","Solar>Solar photovoltaic, Geothermal, Multiple RE Sources>All"
Feed-in Premium Programme SDE + (Stimulering Duurzame Energie +),Netherlands,2011 (last updated in 2016),In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>All, Multiple RE Sources>Heating"
Green Certificate Trading,Netherlands,2001,In Force ,Economic Instruments>Market-based instruments>Green certificates ,Multiple RE Sources>Power
Green Deals,Netherlands,2011,In Force ,Voluntary Approaches>Negotiated Agreements (Public-private sector) ,Multiple RE Sources
Green Funds,Netherlands,1995,In Force ,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans ",Multiple RE Sources>All
International Energy Programme,Netherlands,2010,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Information provision, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
MEP: Environmental Quality of Electricity Production (Milieukwaliteit van de Elektriciteitsproductie),Netherlands,2003,Ended ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>All
National Renewable Energy Action Plan (NREAP),Netherlands,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Regulatory Energy Tax (Regulerende Energie Belasting - REB),Netherlands,1996,Superseded ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources>All, Bioenergy>Co-firing with fossil fuels"
Renewables for Government Buildings,Netherlands,2001,In Force ,"Regulatory Instruments>Codes and standards, Policy Support>Strategic planning, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Procurement rules, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>All
SDE (stimulering duurzame energie): Renewable energy and CHP production aid scheme,Netherlands,2008,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind>Onshore, Bioenergy>Biomass for power, Multiple RE Sources>CHP, Multiple RE Sources, Multiple RE Sources>Power, Solar>Solar photovoltaic, Wind>Offshore"
Business Growth Agenda ,New Zealand,,In Force ,Policy Support ,Multiple RE Sources
Carbon Reduction Programmes,New Zealand,2014,In Force ,Voluntary Approaches>Public Voluntary Schemes ,Multiple RE Sources>Heating
Electricity Industry Act 2010,New Zealand,2010 (Oct 5th),In Force ,Regulatory Instruments ,Multiple RE Sources
Electricity Industry Reform Act Amendment,New Zealand,2008,Superseded ,Regulatory Instruments ,Multiple RE Sources>Power
Emissions Trading Scheme,New Zealand,2010,In Force ,Economic Instruments>Market-based instruments>GHG emissions trading ,Multiple RE Sources
Energy Efficiency and Conservation Act 2000,New Zealand,2000,In Force ,"Policy Support>Strategic planning, Policy Support>Institutional creation ",Multiple RE Sources>All
Energy-Wise Councils Partnership,New Zealand,1999,Superseded ,"Voluntary Approaches>Public Voluntary Schemes, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Institutional creation ",Multiple RE Sources
National Policy Statement for Renewable Electricity Generation,New Zealand,2011,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
National Policy Statement on Electricity Transmission,New Zealand,2008,In Force ,"Regulatory Instruments, Policy Support>Strategic planning ",Multiple RE Sources>Power
New Zealand Energy Strategy (NZES),New Zealand,2007,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Renewable Energy R&D funding,New Zealand,1995,Superseded ,"Research, Development and Deployment (RD&D), Economic Instruments>Direct investment ","Multiple RE Sources>Power, Multiple RE Sources"
Research and Development Funding Programmes,New Zealand,2014 (Sept),In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
Resource Management Act (RMA),New Zealand,1991,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
The New Zealand Waste Strategy,New Zealand,2002,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Working with Local Government ,New Zealand,,In Force ,Voluntary Approaches>Public Voluntary Schemes ,Multiple RE Sources
Electricity Generation Expansion Plan (2013-2027),Nicaragua,2013,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
General Law for the Natural Resources and the Environment,Nicaragua,1996,In Force ,"Policy Support, Economic Instruments ",Multiple RE Sources
Law for the Promotion of Electricity Generation with Renewable Resources,Nicaragua,2005,In Force ,Economic Instruments ,Multiple RE Sources
National Plan for Rural Electrification,Nicaragua,2004,Under Review ,Policy Support ,Multiple RE Sources
National Sustainable Electrification and Renewable Energy Program (PNESER),Nicaragua,2012,In Force ,"Policy Support, Regulatory Instruments, Research, Development and Deployment (RD&D), Voluntary Approaches ",Multiple RE Sources
Rural Electrification Policy of Nicaragua,Nicaragua,2005,Under Review ,"Policy Support, Economic Instruments ",Multiple RE Sources
Multi-Year Tariff Order (MYTO) I (2008-2013),Nigeria,2008,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>Power"
Multi-Year Tariff Order (MYTO) II (2012-2017),Nigeria,2012 (June 1st),Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources>Power, Multiple RE Sources, Wind>Onshore, Solar>Solar photovoltaic, Hydropower, Bioenergy>Biomass for power"
National Renewable Energy and Energy Efficiency Policy for Nigeria,Nigeria,2015,Planned ,Policy Support>Strategic planning ,Multiple RE Sources>All
Nigeria Renewable Energy Master Plan,Nigeria,2011,In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support>Strategic planning ","Wind, Bioenergy>Biomass for power, Solar>Solar photovoltaic, Hydropower, Multiple RE Sources"
Baltic Energy Efficiency Group (BEEG),Norway,1998,Ended ,"Information and Education>Information provision, Policy Support>Institutional creation, Policy Support>Strategic planning ","Multiple RE Sources>CHP, Multiple RE Sources>All"
Centres for Environmentally-friendly Energy Research,Norway,2008,In Force ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme >Technology development, Information and Education ",Multiple RE Sources
Clean Energy for the Future (RENERGI) Programme,Norway,2004,Superseded ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
CO2 Tax,Norway,1991,In Force ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Market-based instruments>GHG emissions trading, Voluntary Approaches>Public Voluntary Schemes ","Multiple RE Sources>All, Bioenergy>Co-firing with fossil fuels"
Domestic Emissions Trading Scheme 2005-2007,Norway,2005,Superseded ,"Regulatory Instruments, Economic Instruments>Market-based instruments ","Multiple RE Sources>Power, Bioenergy>Co-firing with fossil fuels"
Duty of negotiations on third party access to district heating networks,Norway,2013,In Force ,Regulatory Instruments ,"Multiple RE Sources, Bioenergy, Geothermal"
Electricity tax ,Norway,1951,In Force ,Economic Instruments>Fiscal/financial incentives>Taxes ,"Multiple RE Sources>Power, Bioenergy, Bioenergy>Co-firing with fossil fuels"
ENERGIX Programme,Norway,2012,In Force ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ","Multiple RE Sources, Multiple RE Sources>All"
Energy measures in households,Norway,2013 (Sept 18th),In Force ,Economic Instruments>Fiscal/financial incentives ,"Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources"
Environmental Technology Scheme (Miljøteknologiordningen),Norway,2004,In Force ,"Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D) ",Multiple RE Sources
Incentives for Non-Electric Heating Technologies,Norway,2002,Superseded ,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources>Heating
Information and advice on energy efficiency and renewable energy,Norway,2002,In Force ,"Policy Support>Institutional creation, Information and Education ",Multiple RE Sources>All
Investment aid for new technology for the future's buildings ,Norway,2014,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
Investment aid to innovative energy technology in buildings ,Norway,,In Force ,Economic Instruments>Direct investment ,Multiple RE Sources
National Renewable Energy Action Plan (NREAP),Norway,2012,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
"National Strategy for Research, Development, Demonstration and Commercialisation of New Energy Technology (Energi21)",Norway,2008,In Force ,"Policy Support, Policy Support>Strategic planning, Research, Development and Deployment (RD&D) ","Multiple RE Sources, Multiple RE Sources>All"
Norway-Sweden Green Certificate Scheme for electricity production,Norway,2012,In Force ,"Policy Support, Economic Instruments>Market-based instruments>Green certificates ","Multiple RE Sources>Power, Multiple RE Sources"
